player1,player2,val_3,val_6,raw,total
101106_2018-19,101162_2018-19,2,1,0.5,3
101106_2018-19,1628399_2018-19,0,0,0.16,1
101106_2018-19,1629002_2018-19,0,0,0.16,1
101106_2018-19,1629067_2018-19,0,0,0.16,1
101106_2018-19,1629118_2018-19,1,1,0.33,2
101106_2018-19,1629164_2018-19,0,0,0.16,1
101106_2018-19,200782_2018-19,0,0,0.16,1
101106_2018-19,202347_2018-19,0,0,0.16,1
101106_2018-19,202690_2018-19,0,0,0.16,1
101106_2018-19,202694_2018-19,0,0,0.16,1
101106_2018-19,203089_2018-19,0,0,0.16,1
101106_2018-19,203101_2018-19,0,0,0.16,1
101162_2018-19,1628399_2018-19,0,0,0.16,1
101162_2018-19,1629002_2018-19,0,0,0.16,1
101162_2018-19,1629067_2018-19,0,0,0.16,1
101162_2018-19,1629118_2018-19,0,0,0.16,1
101162_2018-19,1629164_2018-19,0,0,0.16,1
101162_2018-19,200782_2018-19,0,0,0.16,1
101162_2018-19,202347_2018-19,0,0,0.16,1
101162_2018-19,202690_2018-19,1,1,0.33,2
101162_2018-19,202694_2018-19,1,1,0.33,2
101162_2018-19,203089_2018-19,0,0,0.16,1
101162_2018-19,203101_2018-19,0,0,0.16,1
1628399_2018-19,1629002_2018-19,0,0,0.16,1
1628399_2018-19,1629067_2018-19,0,0,0.16,1
1628399_2018-19,1629118_2018-19,1,1,0.33,2
1628399_2018-19,1629164_2018-19,1,1,0.33,2
1628399_2018-19,200782_2018-19,0,0,0.16,1
1628399_2018-19,202347_2018-19,0,0,0.16,1
1628399_2018-19,202690_2018-19,0,0,0.16,1
1628399_2018-19,202694_2018-19,0,0,0.16,1
1628399_2018-19,203089_2018-19,0,0,0.16,1
1628399_2018-19,203101_2018-19,0,0,0.16,1
1629002_2018-19,1629067_2018-19,1,1,0.33,2
1629002_2018-19,1629118_2018-19,0,0,0.16,1
1629002_2018-19,1629164_2018-19,1,1,0.33,2
1629002_2018-19,200782_2018-19,0,0,0.16,1
1629002_2018-19,202347_2018-19,0,0,0.16,1
1629002_2018-19,202690_2018-19,0,0,0.16,1
1629002_2018-19,202694_2018-19,0,0,0.16,1
1629002_2018-19,203089_2018-19,0,0,0.16,1
1629002_2018-19,203101_2018-19,0,0,0.16,1
1629067_2018-19,1629118_2018-19,0,0,0.16,1
1629067_2018-19,1629164_2018-19,2,1,0.5,3
1629067_2018-19,200782_2018-19,0,0,0.16,1
1629067_2018-19,202347_2018-19,0,0,0.16,1
1629067_2018-19,202690_2018-19,1,1,0.33,2
1629067_2018-19,202694_2018-19,0,0,0.16,1
1629067_2018-19,203089_2018-19,0,0,0.16,1
1629067_2018-19,203101_2018-19,0,0,0.16,1
1629118_2018-19,1629164_2018-19,0,0,0.16,1
1629118_2018-19,200782_2018-19,0,0,0.16,1
1629118_2018-19,202347_2018-19,1,1,0.33,2
1629118_2018-19,202690_2018-19,0,0,0.16,1
1629118_2018-19,202694_2018-19,0,0,0.16,1
1629118_2018-19,203089_2018-19,0,0,0.16,1
1629118_2018-19,203101_2018-19,0,0,0.16,1
1629164_2018-19,200782_2018-19,0,0,0.16,1
1629164_2018-19,202347_2018-19,0,0,0.16,1
1629164_2018-19,202690_2018-19,0,0,0.16,1
1629164_2018-19,202694_2018-19,0,0,0.16,1
1629164_2018-19,203089_2018-19,0,0,0.16,1
1629164_2018-19,203101_2018-19,0,0,0.16,1
200782_2018-19,202347_2018-19,0,0,0.16,1
200782_2018-19,202690_2018-19,0,0,0.16,1
200782_2018-19,202694_2018-19,0,0,0.16,1
200782_2018-19,203089_2018-19,0,0,0.16,1
200782_2018-19,203101_2018-19,0,0,0.16,1
202347_2018-19,202690_2018-19,0,0,0.16,1
202347_2018-19,202694_2018-19,0,0,0.16,1
202347_2018-19,203089_2018-19,0,0,0.16,1
202347_2018-19,203101_2018-19,0,0,0.16,1
202690_2018-19,202694_2018-19,0,0,0.16,1
202690_2018-19,203089_2018-19,0,0,0.16,1
202690_2018-19,203101_2018-19,0,0,0.16,1
202694_2018-19,203089_2018-19,0,0,0.16,1
202694_2018-19,203101_2018-19,0,0,0.16,1
203089_2018-19,203101_2018-19,0,0,0.16,1
101107_2018-19,1627783_2018-19,0,0,0.16,1
101107_2018-19,200768_2018-19,1,1,0.33,2
101107_2018-19,201143_2018-19,0,0,0.16,1
101107_2018-19,201145_2018-19,3,2,0.66,4
101107_2018-19,201152_2018-19,0,0,0.16,1
101107_2018-19,201571_2018-19,1,1,0.33,2
101107_2018-19,201980_2018-19,2,1,0.5,3
101107_2018-19,202691_2018-19,0,0,0.16,1
101107_2018-19,202711_2018-19,0,0,0.16,1
101107_2018-19,203095_2018-19,0,0,0.16,1
101107_2018-19,203107_2018-19,0,0,0.16,1
101107_2018-19,203471_2018-19,0,0,0.16,1
101107_2018-19,203490_2018-19,1,1,0.33,2
101107_2018-19,203924_2018-19,3,2,0.66,4
101107_2018-19,203932_2018-19,1,1,0.33,2
101107_2018-19,2772_2018-19,1,1,0.33,2
1627783_2018-19,200768_2018-19,0,0,0.16,1
1627783_2018-19,201143_2018-19,0,0,0.16,1
1627783_2018-19,201145_2018-19,0,0,0.16,1
1627783_2018-19,201152_2018-19,0,0,0.16,1
1627783_2018-19,201571_2018-19,0,0,0.16,1
1627783_2018-19,201980_2018-19,0,0,0.16,1
1627783_2018-19,202691_2018-19,0,0,0.16,1
1627783_2018-19,202711_2018-19,1,1,0.33,2
1627783_2018-19,203095_2018-19,0,0,0.16,1
1627783_2018-19,203107_2018-19,0,0,0.16,1
1627783_2018-19,203471_2018-19,0,0,0.16,1
