id,group,pos,name,season,GroupYear,pid,team,AGE,FG%,PTS,REB,AST,STL,BLK,TOV,+/-
1495_2014-15,2,C,Tim Duncan,2014-15,Group 2 (2014-15),1495.0,SAS,39.0,0.512,13.9,9.1,3.0,0.8,2.0,1.7,4.0
2207_2014-15,1,SG,Joe Johnson,2014-15,Group 1 (2014-15),2207.0,BKN,34.0,0.435,14.4,4.8,3.7,0.7,0.2,1.7,-1.5
202693_2014-15,2,PF,Markieff Morris,2014-15,Group 2 (2014-15),202693.0,PHX,25.0,0.465,15.3,6.2,2.3,1.2,0.5,2.1,1.3
1717_2014-15,2,PF,Dirk Nowitzki,2014-15,Group 2 (2014-15),1717.0,DAL,37.0,0.459,17.3,5.9,1.9,0.5,0.4,1.1,3.1
101108_2014-15,1,PG,Chris Paul,2014-15,Group 1 (2014-15),101108.0,LAC,30.0,0.485,19.1,4.6,10.2,1.9,0.2,2.3,8.9
200746_2014-15,2,PF,LaMarcus Aldridge,2014-15,Group 2 (2014-15),200746.0,POR,29.0,0.466,23.4,10.2,1.7,0.7,1.0,1.7,4.8
202330_2014-15,1,SF,Gordon Hayward,2014-15,Group 1 (2014-15),202330.0,UTA,25.0,0.445,19.3,4.9,4.1,1.4,0.4,2.7,1.4
1718_2014-15,3,SF,Paul Pierce,2014-15,Group 3 (2014-15),1718.0,WAS,37.0,0.447,11.9,4.0,2.0,0.6,0.3,1.3,2.2
2216_2014-15,2,PF,Zach Randolph,2014-15,Group 2 (2014-15),2216.0,MEM,33.0,0.487,16.1,10.5,2.2,1.0,0.2,2.2,4.9
2561_2014-15,2,PF,David West,2014-15,Group 2 (2014-15),2561.0,IND,34.0,0.471,11.7,6.8,3.4,0.7,0.7,1.8,-0.3
201152_2014-15,2,PF,Thaddeus Young,2014-15,Group 2 (2014-15),201152.0,BKN,27.0,0.466,14.1,5.4,2.3,1.6,0.3,1.5,-2.8
201941_2014-15,2,C,Jordan Hill,2014-15,Group 2 (2014-15),201941.0,LAL,27.0,0.459,12.0,7.9,1.5,0.5,0.7,1.5,-5.7
201951_2014-15,1,PG,Ty Lawson,2014-15,Group 1 (2014-15),201951.0,DEN,27.0,0.436,15.2,3.1,9.6,1.2,0.1,2.5,-0.4
202340_2014-15,3,SG,Avery Bradley,2014-15,Group 3 (2014-15),202340.0,BOS,24.0,0.428,13.9,3.1,1.8,1.1,0.2,1.4,-1.1
203114_2014-15,1,SF,Khris Middleton,2014-15,Group 1 (2014-15),203114.0,MIL,23.0,0.467,13.4,4.4,2.3,1.5,0.1,1.4,4.1
203507_2014-15,4,SG,Giannis Antetokounmpo,2014-15,Group 4 (2014-15),203507.0,MIL,20.0,0.491,12.7,6.7,2.6,0.9,1.0,2.1,0.1
203952_2014-15,2,SF,Andrew Wiggins,2014-15,Group 2 (2014-15),203952.0,MIN,20.0,0.437,16.9,4.6,2.1,1.0,0.6,2.2,-6.7
1938_2014-15,6,SG,Manu Ginobili,2014-15,Group 6 (2014-15),1938.0,SAS,37.0,0.426,10.5,3.0,4.2,1.0,0.3,2.2,4.5
