PLAYER_ID,PLAYER_NAME,PFD,SEASON,TEAM_ABBREVIATION,GP,MIN,DIST_MILES,AVG_SPEED,DRIVE_PF,pidSzn
203932,Aaron Gordon,3.4,2018-19,ORL,76,33.78,2.56,4.28,0.5,203932_2018-19
1628988,Aaron Holiday,1.2,2018-19,IND,50,12.92,1.01,4.35,0.1,1628988_2018-19
1627846,Abdel Nader,0.6,2018-19,OKC,60,11.43,0.92,4.47,0.1,1627846_2018-19
201143,Al Horford,1.8,2018-19,BOS,68,29.01,2.04,3.98,0.1,201143_2018-19
202329,Al-Farouq Aminu,1.8,2018-19,POR,81,28.29,2.14,4.25,0.2,202329_2018-19
1626210,Alan Williams,0.6,2018-19,BKN,5,5.11,0.38,4.14,0.0,1626210_2018-19
202692,Alec Burks,1.9,2018-19,SAC,64,21.48,1.61,4.22,0.4,202692_2018-19
203518,Alex Abrines,1.0,2018-19,OKC,31,18.98,1.5,4.38,0.1,203518_2018-19
1627936,Alex Caruso,2.3,2018-19,LAL,25,21.25,1.62,4.23,0.6,1627936_2018-19
203458,Alex Len,2.0,2018-19,ATL,77,20.05,1.52,4.23,0.1,203458_2018-19
1627816,Alex Poythress,1.3,2018-19,ATL,21,14.52,1.18,4.51,0.0,1627816_2018-19
1628035,Alfonzo McKinnie,0.7,2018-19,GSW,72,13.94,1.15,4.68,0.0,1628035_2018-19
1628993,Alize Johnson,0.3,2018-19,IND,14,4.6,0.38,4.41,0.0,1628993_2018-19
203459,Allen Crabbe,0.9,2018-19,BKN,43,26.35,2.0,4.24,0.1,203459_2018-19
1629019,Allonzo Trier,2.8,2018-19,NYK,63,22.78,1.71,4.17,0.8,1629019_2018-19
1628518,Amile Jefferson,0.3,2018-19,ORL,12,5.69,0.45,4.47,0.0,1628518_2018-19
101161,Amir Johnson,0.9,2018-19,PHI,51,10.38,0.77,4.16,0.0,101161_2018-19
203083,Andre Drummond,4.1,2018-19,DET,79,33.5,2.33,3.94,0.2,203083_2018-19
2738,Andre Iguodala,1.2,2018-19,GSW,68,23.2,1.7,4.1,0.1,2738_2018-19
201281,Andre Ingram,0.3,2018-19,LAL,4,3.66,0.27,4.14,0.0,201281_2018-19
101106,Andrew Bogut,0.7,2018-19,GSW,11,12.21,0.71,3.96,0.0,101106_2018-19
1626150,Andrew Harrison,1.1,2018-19,NOP,17,10.93,0.79,4.03,0.4,1626150_2018-19
203952,Andrew Wiggins,3.1,2018-19,MIN,73,34.83,2.51,4.04,0.8,203952_2018-19
1629014,Anfernee Simons,0.5,2018-19,POR,20,7.02,0.55,4.35,0.3,1629014_2018-19
1629116,Angel Delgado,0.5,2018-19,LAC,2,7.38,0.56,4.13,0.0,1629116_2018-19
1627790,Ante Zizic,2.1,2018-19,CLE,59,18.34,1.28,4.0,0.0,1627790_2018-19
203076,Anthony Davis,6.6,2018-19,NOP,56,33.03,2.28,3.9,0.4,203076_2018-19
201229,Anthony Tolliver,0.8,2018-19,MIN,65,16.61,1.29,4.32,0.1,201229_2018-19
1628469,Antonio Blakeney,0.9,2018-19,CHI,57,14.54,1.12,4.33,0.3,1628469_2018-19
203382,Aron Baynes,1.9,2018-19,BOS,51,16.09,1.15,4.02,0.0,203382_2018-19
203085,Austin Rivers,1.4,2018-19,HOU,76,26.68,1.93,4.05,0.4,203085_2018-19
202340,Avery Bradley,1.1,2018-19,MEM,63,30.25,2.33,4.32,0.1,202340_2018-19
1629168,BJ Johnson,0.3,2018-19,SAC,7,7.05,0.54,4.28,0.0,1629168_2018-19
1628389,Bam Adebayo,2.8,2018-19,MIA,82,23.33,1.72,4.11,0.1,1628389_2018-19
203463,Ben McLemore,0.4,2018-19,SAC,19,8.3,0.71,4.74,0.0,203463_2018-19
1627732,Ben Simmons,4.7,2018-19,PHI,78,34.15,2.53,4.17,0.8,1627732_2018-19
1628656,Billy Garrett,1.0,2018-19,NYK,4,15.86,1.11,4.07,0.3,1628656_2018-19
202687,Bismack Biyombo,1.5,2018-19,CHA,54,14.49,1.07,4.21,0.0,202687_2018-19
201933,Blake Griffin,7.6,2018-19,DET,75,34.96,2.29,3.71,1.2,201933_2018-19
1626246,Boban Marjanovic,1.6,2018-19,PHI,58,11.73,0.85,4.08,0.0,1626246_2018-19
1626171,Bobby Portis,1.8,2018-19,WAS,49,26.04,1.89,4.09,0.2,1626171_2018-19
203992,Bogdan Bogdanovic,2.6,2018-19,SAC,70,27.82,2.14,4.31,0.3,203992_2018-19
202711,Bojan Bogdanovic,2.9,2018-19,IND,81,31.77,2.34,4.13,0.7,202711_2018-19
1629045,Bonzie Colson,0.8,2018-19,MIL,8,12.31,0.95,4.46,0.0,1629045_2018-19
202954,Brad Wanamaker,0.6,2018-19,BOS,36,9.52,0.73,4.27,0.1,202954_2018-19
203078,Bradley Beal,4.4,2018-19,WAS,81,36.88,2.75,4.19,0.9,203078_2018-19
1629164,Brandon Goodwin,0.6,2018-19,DEN,16,3.57,0.28,4.38,0.3,1629164_2018-19
1627742,Brandon Ingram,5.1,2018-19,LAL,52,33.86,2.6,4.31,1.0,1627742_2018-19
202688,Brandon Knight,1.3,2018-19,CLE,39,18.89,1.35,4.23,0.3,202688_2018-19
1629102,Brandon Sampson,0.4,2018-19,CHI,14,15.31,1.15,4.26,0.1,1629102_2018-19
201572,Brook Lopez,1.6,2018-19,MIL,81,28.66,2.0,3.93,0.3,201572_2018-19
1628971,Bruce Brown,0.7,2018-19,DET,74,19.58,1.53,4.46,0.2,1628971_2018-19
203998,Bruno Caboclo,1.1,2018-19,MEM,34,23.52,1.85,4.41,0.2,203998_2018-19
1627854,Bryn Forbes,1.0,2018-19,SAS,82,27.96,2.12,4.3,0.1,1627854_2018-19
1627741,Buddy Hield,1.8,2018-19,SAC,82,31.89,2.67,4.71,0.2,1627741_2018-19
203710,C.J. Williams,0.2,2018-19,MIN,15,8.54,0.67,4.33,0.0,203710_2018-19
203468,CJ McCollum,2.4,2018-19,POR,70,33.93,2.67,4.42,0.5,203468_2018-19
101139,CJ Miles,0.9,2018-19,MEM,53,16.16,1.18,4.07,0.2,101139_2018-19
1628403,Caleb Swanigan,0.7,2018-19,SAC,21,8.48,0.65,4.24,0.0,1628403_2018-19
1629244,Cam Reynolds,0.4,2018-19,MIN,19,13.66,1.1,4.49,0.1,1629244_2018-19
1626166,Cameron Payne,1.1,2018-19,CLE,40,17.81,1.37,4.29,0.2,1626166_2018-19
1627747,Caris LeVert,2.8,2018-19,BKN,40,26.57,2.01,4.23,1.0,1627747_2018-19
2546,Carmelo Anthony,2.1,2018-19,HOU,10,29.41,1.97,3.72,0.1,2546_2018-19
1626224,Cedi Osman,2.2,2018-19,CLE,76,32.16,2.33,4.13,0.4,1626224_2018-19
1628990,Chandler Hutchison,1.0,2018-19,CHI,44,20.33,1.62,4.49,0.1,1628990_2018-19
202718,Chandler Parsons,1.1,2018-19,MEM,25,19.83,1.43,4.04,0.3,202718_2018-19
101112,Channing Frye,0.4,2018-19,CLE,36,9.47,0.62,3.7,0.1,101112_2018-19
1626184,Chasson Randle,1.1,2018-19,WAS,48,14.99,1.22,4.56,0.3,1626184_2018-19
1627767,Cheick Diallo,1.0,2018-19,NOP,64,13.99,1.11,4.44,0.0,1627767_2018-19
1629002,Chimezie Metu,0.4,2018-19,SAS,29,5.01,0.38,4.25,0.1,1629002_2018-19
1628449,Chris Boucher,0.5,2018-19,TOR,28,5.83,0.45,4.27,0.0,1628449_2018-19
1629185,Chris Chiozza,0.1,2018-19,HOU,7,4.65,0.36,4.28,0.0,1629185_2018-19
101108,Chris Paul,3.2,2018-19,HOU,58,32.01,2.15,3.78,0.1,101108_2018-19
1626174,Christian Wood,1.7,2018-19,NOP,21,11.92,0.9,4.31,0.2,1626174_2018-19
203991,Clint Capela,3.3,2018-19,HOU,67,33.56,2.42,4.07,0.0,203991_2018-19
203469,Cody Zeller,3.1,2018-19,CHA,49,25.37,1.99,4.44,0.2,203469_2018-19
1629012,Collin Sexton,3.1,2018-19,CLE,82,31.77,2.31,4.14,0.8,1629012_2018-19
201147,Corey Brewer,1.1,2018-19,SAC,31,15.86,1.22,4.31,0.1,201147_2018-19
202709,Cory Joseph,1.1,2018-19,IND,82,25.16,2.03,4.49,0.1,202709_2018-19
201584,Courtney Lee,0.6,2018-19,DAL,34,12.6,0.96,4.28,0.1,201584_2018-19
1626245,Cristiano Felicio,1.1,2018-19,CHI,60,12.44,0.94,4.26,0.1,1626245_2018-19
1626156,D'Angelo Russell,2.3,2018-19,BKN,81,30.22,2.23,4.14,0.4,1626156_2018-19
201571,D.J. Augustin,2.5,2018-19,ORL,79,27.87,2.05,4.17,0.3,201571_2018-19
1628391,D.J. Wilson,0.9,2018-19,MIL,48,18.38,1.48,4.51,0.0,1628391_2018-19
